Группа,Преподаватель,Подгруппа,Дисциплина,Кабинет,Время,Дата
А24-1,,,"Внеаудиторное занятие ""Разговоры о важном"" каб. ",№207,14.00-14.35,01.09.2026
А24-1,Бакланова Е.В.,1,МДК.02.01 Защита растений,,14.45-15.20 15.40-16.15,01.09.2026
А24-1,Бакланова Е.В.,1,МДК.02.01 Защита растений,,16.35-17.10 17.30-18.05,01.09.2026
Д24-5,,,"Внеаудиторное занятие ""Разговоры о важном"" каб. №136",,14.00-14.35,01.09.2026
Д24-5,Зылёва Я.Ф.,1,ОПЦ.07 Компьютерная обработка документов,,14.45-15.20 15.40-16.15,01.09.2026
Д24-5,Васькина Н.И.,1,"МДК.02.02 Государственные, муниципальные архивы и архивы организаций",,16.35-17.10 17.30-18.05,01.09.2026
ДО24-6,,,"Внеаудиторное занятие ""Разговоры о важном"" каб. №150",,14.00-14.35,01.09.2026
ДО24-6,Мартемьянова С.В.,1,ОПЦ.07 Основы обучения лиц с особыми образовательными потребностями,,14.45-15.20 15.40-16.15,01.09.2026
ДО24-6,Мартемьянова С.В.,1,МДК.02.06 Теоретические и методические основы организации трудовой деятельности детей дошкольного возраста,,16.35-17.10 17.30-18.05,01.09.2026
ДО26-7,,,"Внеаудиторное занятие ""Разговоры о важном"" каб. №250",,14.00-14.35,01.09.2026
ДО26-7,Тропина Н.Ю.,1,ОУП.01 Русский язык,,14.45-15.20 15.40-16.15,01.09.2026
ДО26-7,Еськова И.П.,1,ОУП.03 Математика,,16.35-17.10 17.30-18.05,01.09.2026
ПКД24-4,,,"Внеаудиторное занятие ""Разговоры о важном"" каб. №240",,14.00-14.35,01.09.2026
ПКД24-4,Седякина Д.Ю.,1,ОГСЭ.03 Иностранный язык в профессиональной деятельности,,14.45-15.20 15.40-16.15,01.09.2026
ПКД24-4,Богданов М.В.,1,ЕН.01 Химия,,16.35-17.10 17.30-18.05,01.09.2026
ПКД26-5,,,"Внеаудиторное занятие ""Разговоры о важном"" каб. №125",,14.00-14.35,01.09.2026
ПКД26-5,Богданов М.В.,1,ПД.12 Химия,,14.45-15.20 15.40-16.15,01.09.2026
ПКД26-5,Фазылов Р.Ю.,1,БД.08 Основы безопасности и защита Родины,,16.35-17.10 17.30-18.05,01.09.2026
ПП25-17,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №245",245,8.00-8.35,01.09.2026
ПП25-17,Пилипук В.А.,1,МДК.01.02 Выполнение работ по техническому обслуживанию автотранспортных средств и их компонентов,117,8.45-9.20 9.40-10.15,01.09.2026
ПП25-17,Зылёв А.Д.,1,АДП. 03 Адаптивные информационные и коммуникационные технологии,207,10.35-11.10 11.30-12.05,01.09.2026
ПП25-17,Зылёва Я.Ф.,1,ОП.06 Основы бережливого производства,239,12.15-12.50 13.00-13.35,01.09.2026
ПП25-18,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №135",135,8.00-8.35,01.09.2026
ПП25-18,Зылёв А.Д.,1,АДП. 03 Адаптивные информационные и коммуникационные технологии,139,8.45-9.20 9.40-10.15,01.09.2026
ПП25-18,Григораш С.В.,1,ОП.04 Основы электроники и цифровой схемотехники,150,10.35-11.10 11.30-12.05,01.09.2026
ПП26-19,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №242",242,8.00-8.35,01.09.2026
ПП26-19,Рубкалева А.Р.,1,АДП.01 Коммуникативный практикум,,8.45-9.20 9.40-10.15,01.09.2026
ПП26-19,Рубкалева А.Р.,1,АДП.01 Коммуникативный практикум,,10.35-11.10 11.30-12.05,01.09.2026
ПП26-19,Бакланова Е.В.,1,ОП.02Основы почвоведения и агрономии,,12.15-12.50 13.00-13.35,01.09.2026
ПП26-20,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №140а",140а,8.00-8.35,01.09.2026
ПП26-20,Ефимов А.Н.,1,"МДК.01.01Ремонт внутренних и наружных поверхностей зданий, облицованных плиткой, или замена отдельных плиток",,8.45-9.20 9.40-10.15,01.09.2026
ПП26-20,Ефимов А.Н.,1,ОП.05 Охрана труда и техника безопасности,,10.35-11.10 11.30-12.05,01.09.2026
ПП26-20,Вострецова Н.В.,1,ОП.05 Охрана труда и техника безопасности,,12.15-12.50 13.00-13.35,01.09.2026
ПП26-21,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. № 'М. Студия", 'М. Студия,8.00-8.35,01.09.2026
ПП26-21,Лунина Н.Н.,1,ОП.03 Основы материаловедения,,8.45-9.20 9.40-10.15,01.09.2026
ПП26-21,Лунина Н.Н.,1,ОП.03 Основы материаловедения,,10.35-11.10 11.30-12.05,01.09.2026
ПП26-22,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №9 общежитие",9 общежитие,8.00-8.35,01.09.2026
ПП26-22,Бычихина Н.А.,1,АДП.02 Социальная адаптация и основы социально-правовых знаний,библ,8.45-9.20 9.40-10.15,01.09.2026
ПП26-22,Бычихина Н.А.,1,АДП.02 Социальная адаптация и основы социально-правовых знаний,библ,10.35-11.10 11.30-12.05,01.09.2026
СС25-3,,,"Внеаудиторное занятие ""Разговоры о важном"" каб. №207",207,14.00-14.35,01.09.2026
СС25-3,Машер В.В.,1,МДК.01.03Безопасность компьютерных сетей,207,14.45-15.20 15.40-16.15,01.09.2026
СС25-3,Малушкин А.В.,1,ОП.05 Основы проектирования баз данных,207,16.35-17.10 17.30-18.05,01.09.2026
СС25-3,Малушкин А.В.,,ОП.05 Основы проектирования баз данных,207,18.15-18.50 19.00-19.35,01.09.2026
СС26-4,,,"Внеаудиторное занятие ""Разговоры о важном"" каб. № библ",,14.00-14.35,01.09.2026
СС26-4,Еськова И.П.,1,ПД.01 Математика,206,14.45-15.20 15.40-16.15,01.09.2026
СС26-4,Зылёва Я.Ф.,1,СГ.06 Основы финансовой грамотности,247,16.35-17.10 17.30-18.05,01.09.2026
СС26-4,Еськова И.П.,,ПД.01 Математика,206,18.15-18.50 19.00-19.35,01.09.2026
ТОд23-1,,,"Внеаудиторное занятие ""Разговоры о важном"" каб. №117",,14.00-14.35,01.09.2026
ТОд23-1,Коробова Ю.А.,1,ОП.15 Основы предпринимательской деятельности,247,14.45-15.20 15.40-16.15,01.09.2026
ТОд23-1,Коробова Ю.А.,1,ОП.15 Основы предпринимательской деятельности,245,16.35-17.10 17.30-18.05,01.09.2026
Э25-6,,,"Внеаудиторное занятие ""Разговоры о важном"" каб. №245",,14.00-14.35,01.09.2026
Э25-6,Дьячкова Е.Р.,1,МДК.01.01 Практические основы бухгалтерского учета активов организации и источников их формирования,245,14.45-15.20 15.40-16.15,01.09.2026
Э25-6,Зылёв А.Д.,1,ПД.03 Информатика,135,16.35-17.10 17.30-18.05,01.09.2026
Э25-6,Зылёв А.Д.,,ПД.03 Информатика,135,18.15-18.50 19.00-19.35,01.09.2026
ЭСХ23-4,,,"Внеаудиторное занятие ""Разговоры о важном"" каб. № 206",,14.00-14.35,01.09.2026
ЭСХ23-4,Бурундуков Е.В.,1,ОП.18 Основы законодательства в сфере дорожного движения,,14.45-15.20 15.40-16.15,01.09.2026
ЭСХ23-4,Бурундуков Е.В.,1,ОП.18 Основы законодательства в сфере дорожного движения,,16.35-17.10 17.30-18.05,01.09.2026
ЭСХ23-4,Глыдов В.Н.,,МДК.04.03 Организация и выполнение грузовых перевозок автомобильным транспортом,,18.15-18.50 19.00-19.35,01.09.2026
ЭСХ25-5,,,"Внеаудиторное занятие ""Разговоры о важном"" каб. №239",,14.00-14.35,01.09.2026
ЭСХ25-5,Григораш А.В.,1,ПД.03 Биология,,14.45-15.20 15.40-16.15,01.09.2026
ЭСХ25-5,Кузнецов Н.В.,1,МДК.01.02 Подготовка тракторов и сельскохозяйственных машин и механизмов к работе.,,16.35-17.10 17.30-18.05,01.09.2026
ЭСХ25-5,Кузнецов Н.В.,,МДК.01.02 Подготовка тракторов и сельскохозяйственных машин и механизмов к работе.,,18.15-18.50 19.00-19.35,01.09.2026
2367,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №117",117,8.00-8.35,01.09.2026
2367,Волчихин К.А.,1,ОПЦ.09 Физическая культура,с/з,8.45-9.20 9.40-10.15,01.09.2026
2367,Мещерякова Д.М.,1,ОП.13 Производство и приготовление кулинарной и кондитерской продукции национальной кухни,122,10.35-11.10 11.30-12.05,01.09.2026
2367,Седякина Д.Ю.,1,ОПЦ.07  Иностранный язык в профессиональной деятельности,133,12.15-12.50 13.00-13.35,01.09.2026
2577,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №206",206,8.00-8.35,01.09.2026
2577,Вахрамеева С.Н.,1,ОДП.12 Физика,206,8.45-9.20 9.40-10.15,01.09.2026
2577,Романовская Е.В.,1,ОДБ.04 Обществознание (включая экономику и право),247,10.35-11.10 11.30-12.05,01.09.2026
2577,Романовская Е.В.,1,ОДБ.04 Обществознание (включая экономику и право),247,12.15-12.50 13.00-13.35,01.09.2026
2578,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №122",122,8.00-8.35,01.09.2026
2578,Деньгуб А.А.,1,ОП.02 Информационные технологии,135,8.45-9.20 9.40-10.15,01.09.2026
2578,Деньгуб А.А.,1,ОП.02 Информационные технологии,135,10.35-11.10 11.30-12.05,01.09.2026
2578,Бурундуков Е.В.,1,ОДБ.10 Биология,245,12.15-12.50 13.00-13.35,01.09.2026
2579,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №209",209,8.00-8.35,01.09.2026
2579,Панфилова О.Л.,1,ОДБ.02 Литература,125,8.45-9.20 9.40-10.15,01.09.2026
2579,Вахрамеева С.Н.,1,ОДП.13 Физика,206,10.35-11.10 11.30-12.05,01.09.2026
2579,Панфилова О.Л.,1,ОДБ.02 Литература,125,12.15-12.50 13.00-13.35,01.09.2026
2580,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №139",139,8.00-8.35,01.09.2026
2580,Полякова М.В.,1,СЦ.01 История России,,8.45-9.20 9.40-10.15,01.09.2026
2580,Пилипук В.А.,1,МДК.02.01 Диагностика автотранспортных средств,,10.35-11.10 11.30-12.05,01.09.2026
2581,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №247",247,8.00-8.35,01.09.2026
2581,Абакумов А.В.,1,ОДБ.07 Информатика,207,8.45-9.20 9.40-10.15,01.09.2026
2581,Шмелёва А.В.,1,ОДП.11 Математика,245,10.35-11.10 11.30-12.05,01.09.2026
2581,Пуртова А.В.,1,СГ.01 История России,240,12.15-12.50 13.00-13.35,01.09.2026
2582,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №133",133,8.00-8.35,01.09.2026
2582,Улыбина Н.Г.,1,"МДК.02.01 Организация приготовления, подготовки к реализации и презентации горячих блюд, кулинарных изделий, закусок",121,8.45-9.20 9.40-10.15,01.09.2026
2582,Улыбина Н.Г.,1,"МДК.02.01 Организация приготовления, подготовки к реализации и презентации горячих блюд, кулинарных изделий, закусок",121,10.35-11.10 11.30-12.05,01.09.2026
2582,Улыбина Н.Г.,1,"МДК.02.02 Процессы приготовления, подготовки к реализации и презентации горячих блюд, кулинарных изделий, закусок",121,12.15-12.50 13.00-13.35,01.09.2026
2583,,1.2,"Внеаудиторное занятие ""Разговоры о важном"" каб. №136",136,8.00-8.35,01.09.2026
2583,Пуртова А.В.,1,ОДБ.02 История,240,8.45-9.20 9.40-10.15,01.09.2026
2583,Пуртова А.В.,1,ОДБ.02 История,240,10.35-11.10 11.30-12.05,01.09.2026
2583,Еськова И.П.,1,ОДБ.06 Математика,202,12.15-12.50 13.00-13.35,01.09.2026
